timeElapsed,x,y,z,label
0,-0.066271166,0.044080642,-0.00547972,stand
0.098,-0.050996872,0.033192308,0.021599035,stand
0.196,-0.039608662,0.00033183,0.046178681,stand
0.294,-0.030662039,0.002726012,0.041363153,stand
0.392,-0.031890022,0.019785955,0.035238681,stand
0.49,-0.03948882,0.030538735,-0.015040735,stand
0.588,-0.068833393,0.040419328,-0.006730341,stand
0.686,-0.031842885,0.030629815,0.007075753,stand
0.784,-0.020381971,0.024602548,0.027998611,stand
0.882,-0.021681061,0.018552113,0.037781201,stand
0.98,-0.010200173,0.009881659,0.018284465,stand
1.078,-0.031886028,0.018510301,0.024214792,stand
1.176,-0.028069452,0.011134677,0.015671638,stand
1.274,-0.014039919,0.00996475,0.032946765,stand
1.372,-0.017910025,-0.00092465,0.05005145,stand
1.47,-0.021711421,0.006334595,0.035323636,stand
1.568,-0.040835847,0.013650565,0.024129571,stand
1.666,-0.025468875,0.026952255,0.007131945,stand
1.764,-0.039623043,-0.009518138,0.02902526,stand
1.862,0.029475601,0.051366252,0.035821914,stand
1.96,0.034783813,0.134471792,0.060418869,stand
2.058,0.010294449,0.040441699,0.03808853,stand
2.156,-0.035694614,0.029559757,0.035209919,stand
2.254,-0.062495336,0.024567128,-0.000558199,stand
2.352,-0.042266763,-0.047415453,0.015504391,stand
2.45,-0.086762593,0.014741129,-0.025282986,stand
2.548,-0.000165382,-0.049778209,0.052633118,stand
2.646,-0.045956307,0.006297311,0.015504391,stand
2.743,-0.085562572,-0.003349458,0.018809108,stand
2.842,-0.035847214,-0.02405154,0.053546582,stand
2.94,-0.048660747,-0.048564873,0.026468093,stand
3.038,-0.038322355,0.001500159,0.036392895,stand
3.136,-0.02803989,0.022113292,0.014454041,stand
3.234,-0.044718736,-0.000875914,0.04613101,stand
3.331,-0.011393003,0.042857452,0.021968682,stand
3.429,-0.002587794,-0.003465305,0.037942589,stand
3.527,-0.035744149,0.006283995,0.01804771,stand
3.625,-0.010229734,0.003883155,0.039101863,stand
3.723,-0.064997642,0.045346975,0.004331099,stand
3.821,-0.067667728,0.005161739,0.021428327,stand
3.919,-0.038229677,0.035650406,0.031516115,stand
4.017,-0.039559926,0.014898522,0.030266027,stand
4.115,-0.029403695,-0.009586581,0.020545489,stand
4.213,-0.035753737,0.008847554,0.042545064,stand
4.311,-0.05608058,0.040497625,0.015433019,stand
4.409,-0.081685276,0.018690065,0.034780884,stand
4.507,-0.05354312,0.036878656,0.02525236,stand
4.605,-0.011515242,-0.003516438,0.02316311,stand
4.703,-0.057477941,-0.009620403,-0.000533697,stand
4.801,-0.025440113,0.039182024,0.012039086,stand
4.899,-0.030715568,-0.018029068,0.040124783,stand
4.997,-0.03825844,0.02217561,0.021709024,stand
5.095,-0.039630234,-0.013198094,0.0253485,stand
5.193,-0.028091822,0.000100934,0.005866145,stand
5.291,-0.049798449,-0.00107139,0.004441354,stand
5.389,-0.017829331,0.023357254,0.024346885,stand
5.487,-0.027964789,0.0476831,0.002222941,stand
5.585,-0.047292947,-0.011915515,0.033852506,stand
5.683,-0.010192983,0.013561615,0.021961225,stand
5.781,-0.035662656,0.034294857,0.005818208,stand
5.879,-0.051077565,-0.003539874,-0.001695901,stand
5.977,-0.00103304,0.091512074,-0.006075736,stand
6.075,0.016447949,-0.043717121,0.052789445,stand
6.173,0.013828198,-0.068102888,0.056424394,stand
6.271,-0.046005842,-0.016978451,-0.001657818,stand
6.369,-0.034516166,-0.029451366,-0.04932707,stand
6.467,-0.007764979,-0.047734499,-0.030721161,stand
6.565,-0.051307663,-0.087682715,0.012946425,stand
6.663,-0.103493369,-0.036485573,-0.026693663,stand
6.761,-0.058963984,-0.09142925,-0.007947672,stand
6.859,-0.023249396,-0.098731637,0.014421816,stand
6.957,0.005048554,-0.019486083,0.011057179,stand
7.055,-0.020550549,-0.042581549,0.016931579,stand
7.153,-0.00796152,-0.101008906,0.05497883,stand
7.251,-0.069137792,-0.066809391,0.028718198,stand
7.349,-0.046220759,-0.086297338,0.048512941,stand
7.447,-0.033476734,-0.092376802,0.059649216,stand
7.545,-0.05127171,-0.066792879,0.041130126,stand
7.643,-0.047413588,-0.049586462,0.066897009,stand
7.741,-0.051348409,-0.079900159,0.104810303,stand
7.839,-0.052429386,-0.024126375,0.030123281,stand
7.937,-0.116026472,0.065088989,0.021022195,stand
8.035,-0.075311266,0.019992617,0.054436877,stand
8.133,-0.056082977,0.047986168,0.048507082,stand
8.231,-0.102242216,-0.020107399,0.076210616,stand
8.329,0.007719439,0.038123417,0.061334464,stand
8.427,-0.031597607,0.129596609,0.02796186,stand
8.525,-0.094199204,0.107667342,0.004102333,stand
8.623,-0.053399309,0.095537442,0.039988163,stand
8.721,-0.025166073,0.140418364,-0.001367267,stand
8.819,-0.06090463,0.156619705,0.047306529,stand
8.917,-0.048213336,0.117328758,0.006980145,stand
9.015,-0.077621026,0.105282747,0.023849673,stand
9.113,-0.039420909,0.067368921,0.027850806,stand
9.211,-0.029127259,0.095366467,0.018164623,stand
9.308,-0.039266712,0.124703051,0.021764418,stand
9.406,-0.022719694,0.105126952,0.02067918,stand
9.504,-0.041883268,0.099047755,0.015600265,stand
9.602,-0.040661676,0.07830173,0.016823189,stand
9.7,-0.019241073,-0.022915436,0.045126199,stand
9.798,-0.055999886,0.062289474,-0.020071446,stand
9.896,-0.020406738,0.018567293,0.041467282,stand
9.994,-0.053622216,0.006359362,0.024007598,stand
10.092,-0.023020897,-0.01208649,0.012028966,stand
10.19,-0.042114963,0.007446997,0.003292466,stand
10.288,-0.056200422,-0.004649613,0.017853033,stand
10.386,-0.034574489,-0.036474388,0.010682738,stand
10.484,-0.048547296,-0.014573883,-0.01025317,stand
10.582,0.002464756,-0.036677321,-0.011023623,stand
10.68,-0.053646983,-0.002165949,0.027676369,stand
10.778,-0.037040842,0.003950267,0.038855787,stand
10.876,-0.030551784,0.046701726,0.048740642,stand
10.974,-0.044632449,0.028343225,0.031452731,stand
11.072,-0.041997518,0.056347695,0.019246665,stand
11.17,-0.034234137,0.101604389,0.042617502,stand
11.268,-0.026666498,0.061209828,0.023064839,stand
11.366,-0.02304167,-0.0193974,0.014473748,stand
11.464,-0.030694796,-0.013208214,0.027880101,stand
11.562,-0.020473051,-0.010804977,0.025525866,stand
11.66,-0.039510392,0.028214061,0.008228635,stand
11.758,-0.010157829,0.033212548,0.046469764,stand
11.856,-0.013960823,0.040484043,0.034191526,stand
11.954,-0.053477606,0.057541856,0.008118913,stand
